UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;CINGAPURA;Residente;73
SP;PAÍSES BAIXOS;Residente;2467
SP;RÚSSIA;Provisório;116
SP;LÍBANO;Provisório;318
SP;ISRAEL;Residente;977
SP;TURQUIA;Residente;573
SP;VENEZUELA;Provisório;1433
SP;AUSTRIA;Residente;1136
SP;AUSTRÁLIA;Residente;624
SP;SENEGAL;Temporário;78
SP;APÁTRIDA;Residente;669
SP;SENEGAL;Residente;2467
SP;AFEGANISTÃO;Provisório;336
SP;ESTADOS UNIDOS;Temporário;2460
SP;FRANÇA;Temporário;514
SP;INDIA;Residente;1365
SP;JAPÃO;Temporário;412
SP;GEÓRGIA;Residente;14
SP;VIETINA;Temporário;8
SP;CAMARÕES;Residente;320
SP;ANGOLA;Provisório;5018
SP;LIBÉRIA;Residente;27
SP;BENIN;Residente;149
SP;UCRÂNIA;Residente;293
SP;ESTÔNIA;Residente;66
SP;FILIPINAS;Residente;553
SP;ARGÉLIA;Residente;95
SP;ANGOLA;Temporário;1003
SP;HUNGRIA;Residente;530
SP;ROMÊNIA;Residente;1447
SP;COSTA RICA;Residente;288
SP;NIGÉRIA;Provisório;447
SP;CUBA;Provisório;2134
SP;SUÉCIA;Residente;997
SP;MOLDOVA;Residente;17
SP;SUDÃO;Residente;80
SP;RÚSSIA;Residente;1030
SP;PORTUGAL;Provisório;49
SP;NICARÁGUA;Residente;166
SP;CHINA;Provisório;566
SP;GANA;Provisório;45
SP;CHADE;Provisório;3
SP;FINLÂNDIA;Residente;300
SP;INDONÉSIA;Residente;196
